NODE_NAME	PROPERTY_INDEXED	INDEX_TYPE	INDEX_NAME
GoTerm	id	exact	go_term_id_index
Protein	accession	exact	protein_accession_index
Protein	full_name	fulltext	protein_full_name_full_text_index
Protein	gene_names	fulltext	protein_gene_names_full_text_index
Keyword	id	exact	keyword_id_index
Keyword	name	exact	keyword_name_index
Interpro	id	exact	interpro_id_index
Organism	scientific_name	exact	organism_scientific_name_index
Organism	ncbi_taxonomy_id	exact	organism_ncbi_taxonomy_id_index
Taxon	name	exact	taxon_name_index
FeatureType	name	exact	feature_type_name_index
CommentType	name	exact	comment_type_name_index
Isoform	id	exact	isoform_id_index
Person	name	fulltext	person_name_full_text_index
Consortium	name	exact	consortium_name_index
Institute	name	exact	institute_name_index
Country	name	exact	country_name_index
City	name	exact	city_name_index
Thesis	title	fulltext	thesis_title_full_text_index
Patent	number	exact	patent_number_index
Book	name	fulltext	book_name_full_text_index
Publisher	name	exact	publisher_name_index
OnlineArticle	title	fulltext	online_article_title_full_text_index
OnlineJournal	name	exact	online_journal_name_index
Article	title	fulltext	article_title_full_text_index
Article	pubmed_id	exact	article_pubmed_id_index
Article	medline_id	exact	article_medline_id_index
Article	doi_id	exact	article_doi_id_index
Journal	name	exact	journal_name_index
GenomeElement	id	exact	genome_element_id_index
NCBITaxon	tax_id	exact	ncbi_taxon_id_index
NCBITaxon	gi_id	exact	ncbi_taxon_gi_id_index
