NAME	DESCRIPTION	INCOMING_RELATIONSHIPS	OUTGOING_RELATIONSHIPS	JAVADOC_URL
Article	The reference information for a journal citation includes the journal abbreviation, the volume number, the page range and the year of publication.<p/> Journal names are abbreviated according to the conventions used by the National Library of Medicine (NLM) and are based on the existing ISO and ANSI standards.	-	ArticleJournal,ArticleAuthor,ArticleProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/ArticleNode.html
Journal	Journals where article citations are published	ArticleJournal	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/JournalNode.html
Consortium	Models consortium entities that take part in publications.	ArticleAuthor,OnlineArticleAuthor,SubmissionAuthor	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/ConsortiumNode.html
Country	Different countries of the world	InstituteCountry	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/CountryNode.html
Institute	Models a Research Institute	ThesisInstitute	InstituteCountry	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/InstituteNode.html
Thesis	Thesis protein citations	-	ThesisInstitute,ThesisAuthor,ThesisProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/ThesisNode.html
UnpublishedObservation	Protein unpublished observations	-	UnpublishedObservationAuthor,UnpublishedObservationProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/UnpublishedObservationNode.html
OnlineArticle	The reference information for a online article citation includes the online journal, the locator and the title, (plus author list information)	-	OnlineArticleJournal,OnlineArticleAuthor,OnlineArticleProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/OnlineArticleNode.html
OnlineJournal	Online journals where online article citations are published	OnlineArticleJournal	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/OnlineJournalNode.html
Submission	Submission protein citations	-	SubmissionDb,SubmissionAuthor,SubmissionProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/SubmissionNode.html
DB	Databases where submission protein citations are submitted to	SubmissionDb	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/DBNode.html
Patent	Patent protein citations	-	PatentAuthor,PatentProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/PatentNode.html
Person	People involved in protein citations	BookAuthor,BookEditor,ArticleAuthor,PatentAuthor,SubmissionAuthor,ThesisAuthor,OnlineArticleAuthor,ArticleAuthor,UnpublishedObservationAuthor	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/PersonNode.html
Book	The reference information for articles found in books or other types of publication includes the book name, the volume number, the page range, the publisher, the city and the year.	-	BookPublisher,BookCity,BookAuthor,BookEditor,BookProteinCitation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/BookNode.html
Publisher	Publishers regarding to book protein citations	BookPublisher	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/citation/PublisherNode.html
City	Just a city of the world	BookCity	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/CityNode.html
Interpro	Interpro term	ProteinInterpro	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/InterproNode.html
Keyword	Keyword	ProteinKeyword	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/KeywordNode.html
SubcellularLocation	Protein subcellular locations	SubcellularLocationParent,ProteinSubcellularLocation	SubcellularLocationParent	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/SubcellularLocationParentRel.html
GoTerm	Gene ontology term	IsAGo,NegativelyRegulatesGo,PartOfGo,HasPartOfGo,PositivelyRegulatesGo,ProteinGo,MainGo,BiologicalProcess,CellularComponent,MolecularFunction	IsAGo,NegativelyRegulatesGo,PartOfGo,HasPartOfGo,PositivelyRegulatesGo	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/GoTermNode.html
Isoform	Protein isoforms, (their information is retrieved from entries' binary interactions)	ProteinIsoformInteraction,Uniref90Member,Uniref100Member,Uniref50Member	Uniref90Member,Uniref100Member,Uniref50Member,IsoformEventGenerator	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/IsoformNode.html
Dataset	Protein datasets (either SwissProt or Trembl)	MainDataset,ProteinDatase	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/DatasetNode.html
SequenceCaution	Sequence caution	ErroneousInitiation,ErroneousTranslation,Frameshift,ErroneousTermination,MiscellaneousDiscrepancy,ErroneousGeneModelPrediction,ProteinErroneousInitiation,ProteinErroneousTranslation,ProteinFrameshift,ProteinErroneousTermination,ProteinMiscellaneousDiscrepancy,ProteinErroneousGeneModelPrediction	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/SequenceCautionNode.html
Protein	Uniprot proteins	ArticleProteinCitation,BookProteinCitation,PatentProteinCitation,SubmissionProteinCitation,OnlineArticleProteinCitation,ThesisProteinCitation,UnpublishedObservationProteinCitation,ProteinProteinInteraction,Uniref50Member,Uniref90Member,Uniref100Member	ProteinGenomeElement,Uniref50Member,Uniref90Member,Uniref100Member,ProteinProteinInteraction,ProteinIsoformInteraction,ProteinDataset,ProteinErroneousInitiation,ProteinErroneousTranslation,ProteinFrameshift,ProteinErroneousTermination,ProteinMiscellaneousDiscrepancy,ProteinErroneousGeneModelPrediction,ProteinInterpro,ProteinKeyword,ProteinSubcellularLocation,ProteinOrganism,ProteinGo,AllergenComment,BioPhysicoChemicalPropertiesComment,BiotechnologyComment,CatalyticActivityComment,CautionComment,CofactorComment,DevelopmentalStageComment,DiseaseComment,DisruptionPhenotypeComment,DomainComment,EnzymeRegulationComment,FunctionComment,InductionComment,MassSpectrometryComment,MiscellaneousComment,OnlineInformationComment,PathwayComment,PharmaceuticalComment,PostTranslationalModificationComment,PolymorphismComment,RnaEditingComment,SimilarityComment,SubunitComment,TissueSpecificityComment,ToxicDoseComment,SiteFeature,SignalPeptideFeature,ShortSequenceMotifFeature,SequenceVariantFeature,SequenceConflictFeature,RepeatFeature,RegionOfInterestFeature,PropeptideFeature,PeptideFeature,NucleotidePhosphateBindingRegionFeature,NonTerminalResidueFeature,NonStandardAminoAcidFeature,NonConsecutiveResiduesFeature,MutagenesisSiteFeature,ModifiedResidueFeature,MetalIonBindingFeature,LipidMoietyBindingRegionFeature,IntramembraneRegionFeature,InitiatorMethionineFeature,HelixFeature,DomainFeature,GlycosylationSiteFeature,DnaBindingRegionFeature,CrossLinkFeature,DisulfideBondFeature,ChainFeature,CompositionallyBiasedRegionFeature,CoiledCoilRegionFeature,CalciumBindingRegionFeature,ActiveSiteFeature,BindingSiteFeature,SpliceVariantFeature,StrandFeature,TopologicalDomainFeature,TransitPeptideFeature,TransmembraneRegionFeature,TurnFeature,UnsureResidueFeature,ZincFingerRegionFeature	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/ProteinNode.html
GenomeElement	Organisms' genome elements	ProteinGenomeElement	GenomeElementCDS,GenomeElementGene,GenomeElementMRna,GenomeElementMiscRna,GenomeElementNcRna,GenomeElementRRna,GenomeElementTRna,GenomeElementTmRna	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/GenomeElementNode.html
MiscRNA	Misc RNA	GenomeElementMRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/MiscRNANode.html
NcRNA	Nc RNA	GenomeElementNcRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/NcRNANode.html
RRNA	R RNA	GenomeElementRRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/RRNANode.html
TRNA	T RNA	GenomeElementTRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/TRNANode.html
TmRNA	Tm RNA	GenomeElementTmRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/TmRNANode.html
CDS	CDS	GenomeElementCDS	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/CDSNode.html
Gene	Gene	GenomeElementGene	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/GeneNode.html
MRNA	M RNA	GenomeElementMRna	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/refseq/rna/MRNANode.html
Taxon	Uniprot taxonomy taxon	TaxonParent,MainTaxon	TaxonParent	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/TaxonNode.html
Organism	Uniprot taxonomy organism	TaxonParent,ProteinOrganism	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/OrganismNode.html
AlternativeProduct	Protein alternative products	AlternativeProductSplicing,AlternativeProductRibosomalFrameshifting,AlternativeProductPromoter,AlternativeProductInitiation,IsoformEventGenerator	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/AlternativeProductNode.html
FeatureType	This class models precise but simple means for the annotation of sequence data. It describes regions or sites of interest in the protein sequence. In general it lists post-translational modifications, binding sites, enzyme active sites, local secondary structure or other characteristics reported in the cited references. Sequence conflicts between references are also included in this section	SiteFeature,SignalPeptideFeature,ShortSequenceMotifFeature,SequenceVariantFeature,SequenceConflictFeature,RepeatFeature,RegionOfInterestFeature,PropeptideFeature,PeptideFeature,NucleotidePhosphateBindingRegionFeature,NonTerminalResidueFeature,NonStandardAminoAcidFeature,NonConsecutiveResiduesFeature,MutagenesisSiteFeature,ModifiedResidueFeature,MetalIonBindingFeature,LipidMoietyBindingRegionFeature,IntramembraneRegionFeature,InitiatorMethionineFeature,HelixFeature,DomainFeature,GlycosylationSiteFeature,DnaBindingRegionFeature,CrossLinkFeature,DisulfideBondFeature,ChainFeature,CompositionallyBiasedRegionFeature,CoiledCoilRegionFeature,CalciumBindingRegionFeature,ActiveSiteFeature,BindingSiteFeature,SpliceVariantFeature,StrandFeature,TopologicalDomainFeature,TransitPeptideFeature,TransmembraneRegionFeature,TurnFeature,UnsureResidueFeature,ZincFingerRegionFeature	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/FeatureTypeNode.html
CommentType	This class models comments that provide any useful information about the protein, mostly biological knowledge. The information is filed in different comment types.	AllergenComment,BioPhysicoChemicalPropertiesComment,BiotechnologyComment,CatalyticActivityComment,CautionComment,CofactorComment,DevelopmentalStageComment,DiseaseComment,DisruptionPhenotypeComment,DomainComment,EnzymeRegulationComment,FunctionComment,InductionComment,MassSpectrometryComment,MiscellaneousComment,OnlineInformationComment,PathwayComment,PharmaceuticalComment,PostTranslationalModificationComment,PolymorphismComment,RnaEditingComment,SimilarityComment,SubunitComment,TissueSpecificityComment,ToxicDoseComment	-	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/CommentTypeNode.html
NCBITaxon	NCBI taxonomy taxon	NCBIMainTaxon,NCBITaxonParent	NCBITaxonParent	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/nodes/ncbi/NCBITaxonNode.html
