NAME	DESCRIPTION	START_NODES	END_NODES	JAVADOC_URL
AlternativeProductInitiation	Entry point for alternative product initiation node(Relationship coming from reference node)	-	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/aproducts/AlternativeProductInitiationRel.html
AlternativeProductPromoter	Entry point for alternative product promoter node(Relationship coming from reference node)	-	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/aproducts/AlternativeProductPromoterRel.html
AlternativeProductRibosomalFrameshifting	Entry point for alternative product ribosomal frameshifting node(Relationship coming from reference node)	-	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/aproducts/AlternativeProductRibosomalFrameshiftingRel.html
AlternativeProductSplicing	Entry point for alternative product splicing node(Relationship coming from reference node)	-	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/aproducts/AlternativeProductSplicingRel.html
ArticleAuthor	Rel. leading to the authors of an article (people + consortiums)	Article	Person,Consortium	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/article/ArticleAuthorRel.html
ArticleJournal	Rel. leading to the journal where the article was published	Article	Journal	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/article/ArticleJournalRel.html
ArticleProteinCitation	Rel. leading to the proteins citated in an article	Article	Protein	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/article/ArticleProteinCitationRel.html
BookAuthor	Rel. leading to the authors of a book	Book	Person	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/book/BookAuthorRel.html
BookCity	Rel. leading to the city where the book was published	Book	City	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/book/BookCityRel.html
BookEditor	Rel. leading to the editor of a book	Book	Person	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/citation/book/BookEditorRel.html
